day_type,one_sided,tolerance_min,labelled_nights,positive_rate
none,True,15.0,1833,0.5581
none,True,30.0,1833,0.6252
none,True,45.0,1833,0.6798
none,True,60.0,1833,0.7332
none,True,90.0,1833,0.8221
none,False,15.0,1833,0.1975
none,False,30.0,1833,0.3448
none,False,45.0,1833,0.4626
none,False,60.0,1833,0.5581
none,False,90.0,1833,0.7092
weekend,True,15.0,1785,0.5882
weekend,True,30.0,1785,0.6655
weekend,True,45.0,1785,0.7261
weekend,True,60.0,1785,0.7798
weekend,True,90.0,1785,0.8583
weekend,False,15.0,1785,0.2392
weekend,False,30.0,1785,0.4062
weekend,False,45.0,1785,0.5216
weekend,False,60.0,1785,0.6202
weekend,False,90.0,1785,0.7569
dow,True,15.0,1558,0.568
dow,True,30.0,1558,0.6508
dow,True,45.0,1558,0.7092
dow,True,60.0,1558,0.7587
dow,True,90.0,1558,0.8389
dow,False,15.0,1558,0.2298
dow,False,30.0,1558,0.3896
dow,False,45.0,1558,0.5071
dow,False,60.0,1558,0.5931
dow,False,90.0,1558,0.7349
